"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Mlf1.1"	3.82823752437278e-154	-0.792380273480198	0.241	0.557	7.65647504874557e-151	"1"	"Mlf1"
"Lcp1.1"	4.52257882311398e-154	-0.525482578610971	0.107	0.388	9.04515764622796e-151	"1"	"Lcp1"
"Pfkm.1"	7.22387687353359e-154	-0.928273386459165	0.214	0.576	1.44477537470672e-150	"1"	"Pfkm"
"Apoe.1"	2.7706706994634e-152	-1.60888379097276	0.122	0.5	5.5413413989268e-149	"1"	"Apoe"
"Myoz1.1"	2.71591630811708e-151	-1.84111103266213	0.179	0.545	5.43183261623416e-148	"1"	"Myoz1"
"Ppp1r3a.1"	5.67962241289863e-150	-0.561494568211055	0.331	0.573	1.13592448257973e-146	"1"	"Ppp1r3a"
"Clu.1"	7.988671644977e-149	-0.718042810497934	0.117	0.425	1.5977343289954e-145	"1"	"Clu"
"Tyrobp.1"	5.93834887460197e-148	-1.04377681272605	0.148	0.446	1.18766977492039e-144	"1"	"Tyrobp"
"Col15a1.1"	4.67548057910219e-145	-1.00109243405557	0.468	0.718	9.35096115820438e-142	"1"	"Col15a1"
"Adssl1.1"	2.36234758212595e-144	-1.05465571198782	0.167	0.525	4.72469516425189e-141	"1"	"Adssl1"
"Crlf1.1"	6.29769405877897e-144	-0.631429154896151	0.118	0.487	1.25953881175579e-140	"1"	"Crlf1"
"Fxyd5.1"	7.88972887249293e-143	-1.02828540677908	0.412	0.658	1.57794577449859e-139	"1"	"Fxyd5"
"Ucp2.1"	2.68168843260573e-141	-0.504559111565788	0.123	0.431	5.36337686521146e-138	"1"	"Ucp2"
"Tpm1.1"	8.55753700729338e-139	-3.20916432443115	0.84	0.878	1.71150740145868e-135	"1"	"Tpm1"
"Cib2.1"	2.87719989798421e-138	-0.506558548318875	0.264	0.56	5.75439979596842e-135	"1"	"Cib2"
"Cox6a2.1"	4.14931479469344e-137	-2.09379401732051	0.238	0.573	8.29862958938688e-134	"1"	"Cox6a2"
"Thbs4.1"	1.72431487794227e-135	-1.20365286325834	0.274	0.553	3.44862975588455e-132	"1"	"Thbs4"
"Mef2c.1"	3.76923583434351e-133	-0.957154078286844	0.449	0.69	7.53847166868703e-130	"1"	"Mef2c"
"Acta1.1"	1.17420298431391e-132	-3.33758190266845	0.813	0.848	2.34840596862782e-129	"1"	"Acta1"
"Arhgdib.1"	1.30453491511646e-130	-0.628340984075998	0.174	0.466	2.60906983023293e-127	"1"	"Arhgdib"
"Tnnt3.1"	5.37956683407811e-129	-3.29914628014	0.68	0.838	1.07591336681562e-125	"1"	"Tnnt3"
"H2-Ab1.1"	7.88465977540843e-127	-1.14119399814751	0.093	0.364	1.57693195508169e-123	"1"	"H2-Ab1"
